sexo,año,tramo,N,n_adopt,irpf_perdido,ss_perdido,fiscal_perdido,aporte_fondo,saldo_fondo
H,2023,1,601527.0,0.0,0.0,0.0,0.0,0.0,0.0
H,2023,2,810264.0,24307.92,485.44543526365896,164103.7402368,164589.18567206364,653007.9628799999,574507.7337960767
H,2023,3,1472976.0,73648.8,9185.922252949973,5969877.457536,5979063.37978895,23755567.737600002,20899833.021600924
H,2023,4,1251709.0,87619.63,1979816.6545671355,16607228.4022288,18587045.056795936,66084126.860080004,63712240.66554815
H,2023,5,1980507.0,198050.7,26847877.822172612,74577068.480808,101424946.30298062,296759961.08280003,286108676.3004131
H,2023,6,1934558.0,483639.5,143975461.24974024,269401788.06732,413377249.31706023,1072014035.562,1033537393.5587314
H,2023,7,2333331.0,933332.4,625679578.9157765,828900493.7653439,1454580072.6811204,3298392968.2703996,3350903384.3252645
H,2023,8,504617.0,227077.65,349499528.7265782,308702073.75839996,658201602.4849782,1228399255.4399998,1247955371.5866046
H,2023,9,68079.0,34039.5,75070944.31896785,46275202.511999995,121346146.83096784,184140079.2,187071589.260864
H,2023,10,5961.0,2980.5,10393425.873125417,4051858.6079999995,14445284.481125416,16123312.799999999,16379995.939776
H,2024,1,578684.5978106087,0.0,0.0,0.0,0.0,0.0,0.0
H,2024,2,791597.8214976194,23747.93464492858,474.26215284237736,160323.25670529864,160797.51885814103,637964.5163013613,1144926.6061912715
H,2024,3,1438955.9827286955,71947.79913643478,8973.763172490946,5831996.504816509,5840970.267988999,23206906.507055312,41649686.520493664
H,2024,4,1278119.6120183202,89468.37284128243,2021590.0775681536,16957634.979181506,18979225.05674966,67478478.29086067,129783085.68326704
H,2024,5,1997669.4157138919,199766.9415713892,27080532.612193502,75223328.58086875,102303861.19306225,299331584.3183359,579251525.4676247
H,2024,6,1857445.251993648,464361.312998412,138236505.13550147,258663256.47731552,396899761.612817,1029282854.4945081,2042331225.487806
H,2024,7,2278569.5542644886,911427.8217057955,610995370.6707338,809446850.2790706,1420442220.9498043,3220982276.196994,6676510080.237773
H,2024,8,611129.6457795781,275008.3406008102,423270565.9753897,373861738.679815,797132304.6552048,1487685119.3141427,2779191887.5158873
H,2024,9,93202.18028761791,46601.09014380896,102774360.47500943,63352131.602541946,166126492.07755136,252093257.2419489,446156350.85913765
H,2024,10,9788.937905531908,4894.468952765954,17067706.84411566,6653815.1846513925,23721522.028767053,26477119.246882703,43539400.46043031
H,2025,1,556946.861861859,0.0,0.0,0.0,0.0,0.0,0.0
H,2025,2,772705.4805986239,23181.164417958717,462.9433719871718,156496.968232216,156959.91160420317,622738.8009240429,1711031.1648435332
H,2025,3,1406474.3103736236,70323.71551868119,8771.197674546996,5700350.365588433,5709121.56326298,22683055.087981656,62269000.16533462
H,2025,4,1300513.2062382498,91035.9244366775,2057009.820329638,17254745.197257113,19311755.01758675,68660750.78493315,198045617.01796502
H,2025,5,2014165.983632943,201416.5983632943,27304161.12750592,75844515.81999356,103148676.94749948,301803436.6539536,879444341.6029141
H,2025,6,1785687.3121353798,446421.82803384494,132896069.49623643,248670422.29718515,381566491.79342157,989518981.4593872,3028848383.9359374
H,2025,7,2224868.890867645,889947.556347058,596595609.787415,790370042.7429044,1386965652.5303195,3145071104.340277,9977940757.036533
H,2025,8,705707.7049074365,317568.4672083464,488775666.0672632,431720358.1571897,920496024.224453,1717918380.2102706,4568704263.188359
H,2025,9,121310.71141232121,60655.355706160604,133769733.12958096,82458287.24687426,216228020.37645522,328121212.22804636,786604061.891532
H,2025,10,14744.537971919297,7372.2689859596485,25708146.694283873,10022275.306576759,35730422.00086063,39881026.30644731,84748479.96100631
H,2026,1,536256.8543877375,0.0,0.0,0.0,0.0,0.0,0.0
H,2026,2,753678.3605162965,22610.35081548889,451.5438422164065,152643.38276939813,153094.92661161453,607404.4643072935,2272657.1623541135
H,2026,3,1375254.9257884417,68762.74628942208,8576.504183557037,5573820.197905303,5582396.70208886,22179561.341145672,82773606.17133209
H,2026,4,1318975.765206605,92328.30356446236,2086211.8806579392,17499699.84220821,19585911.722866148,69635483.80117455,268334635.82831252
H,2026,5,2029803.2259323325,202980.32259323326,27516140.57051204,76433344.68543689,103949485.25594893,304146527.2949911,1186675219.9902737
H,2026,6,1718985.7906077004,429746.4476519251,127931947.28950647,239381732.49498346,367313679.7844899,952557067.0215604,3995435615.1847854
H,2026,7,2171987.206883423,868794.8827533693,582415457.1354316,771584172.2574636,1353999629.3928952,3070317640.4708757,13255986671.195726
H,2026,8,778266.849578526,350220.0823103367,539030387.7023833,476108792.21728104,1015139179.9196644,1894550557.2659972,6566149837.19599
H,2026,9,152342.99406544582,76171.49703272291,167989136.51598778,103551798.67011735,271540935.18610513,412057330.3482178,1217744081.6042066
H,2026,10,21230.027033493065,10615.013516746532,37016056.40950492,14430643.815422174,51446700.2249271,57422977.120192036,144434826.677931
H,2027,1,516382.4419091689,0.0,0.0,0.0,0.0,0.0,0.0
H,2027,2,734460.1898771867,22033.805696315598,440.0298502201264,148751.10360805446,149191.1334582746,591916.1562258222,2829597.837979715
