sexo,año,N_adopt,irpf_perdido,ss_perdido,fiscal_perdido,aporte_fondo,saldo_fondo,coste_fiscal_acumulado
H,2023,2064696.6,1233456304.928616,1554649694.7918735,2788105999.7204895,6186322314.915759,6207142992.392598,-2788105999.7204895
H,2024,2087224.0825956275,1321456079.8158371,1610151075.5449665,2931607155.3608036,6407175560.127029,12739558168.838612,-5719713155.081293
H,2025,2107922.8790179812,1407115630.2636616,1662197494.1018016,3069313124.3654633,6614280685.872221,19588315935.964424,-8789026279.446756
H,2026,2122229.646527707,1483994365.5520098,1704716647.5635874,3188711013.1155972,6783474549.128462,26719807151.010914,-11977737292.562353
H,2027,2112847.7215079796,1543603682.9581683,1724169722.950692,3267773405.90886,6860882980.59964,34045191973.3722,-15245510698.471214
H,2028,2089719.4726942359,1596457652.2771578,1733014612.4773045,3329472264.754462,6896078907.781661,41525806803.660065,-18574982963.225677
H,2029,2065692.5401791807,1646725542.3489707,1738794157.4490294,3385519699.798,6919077097.115515,49151498262.15809,-21960502663.023674
H,2030,2031917.2060105784,1692337953.5690024,1737829330.77953,3430167284.3485327,6915237821.441036,56897645136.701965,-25390669947.372208
H,2031,1994688.7745829795,1733175598.0157037,1731696867.5042927,3464872465.5199966,6890835285.916736,64745151110.18358,-28855542412.892204
H,2032,1953260.3717583807,1767943607.3048947,1719506403.7744534,3487450011.0793476,6842326520.209762,72671014567.96162,-32342992423.971554
H,2033,1908131.857717218,1798141379.4081492,1703145309.1507633,3501286688.5589123,6777221818.419992,80659490621.4275,-35844279112.530464
H,2034,1860211.15378831,1822535972.4714806,1681703319.4112651,3504239291.8827457,6691899021.8787365,88690843963.46446,-39348518404.41321
H,2035,1807955.610759849,1840250536.4511719,1654533671.7104154,3494784208.161587,6583784506.806151,96742446973.60912,-42843302612.5748
H,2036,1753121.261734538,1851538586.0294316,1622303535.4610288,3473842121.4904604,6455533099.585408,104793975240.94482,-46317144734.06526
H,2037,1695342.4616906524,1855964791.4889941,1584823457.5463266,3440788249.0353208,6306390921.032096,112824056423.77586,-49757932983.10058
H,2038,1634285.3594869631,1853092400.5179596,1541911666.3763788,3395004066.8943386,6135634658.591126,120810282718.73773,-53152937049.99492
H,2039,1569513.1327226728,1842235268.45512,1493207289.9179106,3335442558.3730307,5941828316.282343,128728491918.51437,-56488379608.36795
H,2040,1501661.1671543226,1824091694.4590497,1439658337.8158789,3263750032.274928,5728744250.82443,136558051107.7684,-59752129640.642876
H,2041,1431739.4777553556,1799760740.1146073,1382509500.7626219,3182270240.877229,5501335383.657492,144283081080.83203,-62934399881.5201
H,2042,1357530.3787705982,1766484968.6351988,1319404230.3639467,3085889198.9991455,5250224446.084909,151877936612.32657,-66020289080.51925
H,2043,1280999.5326663305,1726418237.0732872,1252558238.4194293,2978976475.492717,4984228284.367971,159325500328.59564,-68999265556.01196
H,2044,1202066.4582127533,1679700008.7937305,1181972458.1135716,2861672466.9073024,4703350611.870614,166608366565.72583,-71860938022.91927
H,2045,1122445.9715399705,1627698889.098383,1109344667.7295072,2737043556.82789,4414347293.733333,173715680992.7502,-74597981579.74716
H,2046,1042731.3089505627,1570994785.0192158,1035256463.0595654,2606251248.078781,4119532638.472319,180638735898.7705,-77204232827.82594
H,2047,965078.371825374,1511776581.9275362,961897111.6807125,2473673693.6082487,3827618264.473423,187377464401.15817,-79677906521.43419
H,2048,888325.6632518306,1449332252.5462756,888337202.0724028,2337669454.618678,3534905821.3953743,193928053681.20358,-82015575976.05287
H,2049,814554.8897886579,1386082967.8082302,816786723.5480671,2202869691.3562975,3250189384.3608203,200295501159.91757,-84218445667.40916
H,2050,742434.2094244112,1320391048.5208843,745809811.2008991,2066200859.7217836,2967755304.0866227,206479089583.65308,-86284646527.13095
H,2051,673621.8395237569,1254671822.7356548,677380864.6566185,1932052687.3922734,2695460188.07997,212486042923.82812,-88216699214.52322
H,2052,615714.004880993,1196665357.2284417,619688638.7078402,1816353995.936282,2465889046.7613015,218356826231.53558,-90033053210.4595
H,2053,590677.8274849798,1177748355.9997075,600499825.5119025,1778248181.51161,2389532177.642518,224244780235.48917,-91811301391.97112
M,2023,1890762.31,1136840311.4015417,1429837731.6286087,2566678043.030151,5689665714.0930805,5694513814.047687,-2566678043.030151
M,2024,1927648.9259248776,1257615679.9508162,1510756313.1728053,2768371993.1236215,6011660069.718777,11810238758.950155,-5335050036.153772
M,2025,1963415.0277471668,1378363384.1889608,1588310779.6756296,2966674163.8645906,6320267808.397835,18339895055.63479,-8301724200.018363
M,2026,1998141.0468679208,1499125355.534635,1662685179.0672915,3161810534.6019263,6616221300.7868,25276877613.770123,-11463534734.620289
M,2027,2031772.9553086646,1619849530.7784367,1733979776.8818834,3353829307.66032,6899919527.384657,32614927634.855934,-14817364042.28061
M,2028,2063447.7400216032,1738177875.1895204,1801094459.8238027,3539272335.013323,7166984874.731396,40343276261.651855,-18356636377.29393
M,2029,2087990.563460368,1846669719.7279975,1857183660.6811597,3703853380.4091573,7390177196.482123,48423337634.06656,-22060489757.70309
M,2030,2087287.7057960848,1936571795.108736,1888169935.5005898,3824741730.6093254,7513478982.095772,56759071798.42092,-25885231488.312416
M,2031,2071629.0125087386,2018416336.415471,1906899956.873627,3925316293.289098,7588010209.012702,65306420803.81829,-29810547781.601513
M,2032,2053349.0800924145,2095961624.228013,1920556201.728108,4016517825.956121,7642351667.776209,74048002875.13585,-33827065607.557632
M,2033,2022936.294731252,2167118990.6246157,1925427171.075743,4092546161.7003584,7661734417.775448,82951924473.45177,-37919611769.257996
M,2034,1991833.2203021555,2234995665.371724,1927146395.4934278,4162142060.865152,7668575622.205682,92007811186.80139,-42081753830.123146
M,2035,1959057.7734237874,2298883434.735538,1925070077.4208157,4223953512.156354,7660313456.864837,101202561507.15276,-46305707342.279495
M,2036,1913085.9897790314,2345457878.462655,1905565657.2405245,4251023535.7031794,7582700712.202779,110466183654.28043,-50556730877.98267
M,2037,1866711.5033125381,2387274604.396957,1883149982.5335555,4270424586.9305124,7493503390.704459,119788083769.43228,-54827155464.91319
M,2038,1818365.1367215451,2424015028.6298885,1857474697.0621986,4281489725.692087,7391335299.728473,129156094015.5877,-59108645190.60528
M,2039,1768636.1930923718,2455459043.8640857,1828542874.7157109,4284001918.579797,7276208671.014075,138557852552.36697,-63392647109.185074
M,2040,1716668.9958515149,2481112897.731529,1795826075.3583622,4276938973.089891,7146020715.093828,147978660982.4048,-67669586082.27496
M,2041,1662853.0394004947,2501269906.0349517,1759847542.6189752,4261117448.653927,7002853543.293501,157405698535.6594,-71930703530.9289
M,2042,1593999.5781921693,2480810606.451721,1696071777.4976776,4176882383.9493985,6749074547.136087,166728002931.627,-76107585914.8783
M,2043,1520888.6949089873,2453057734.2302,1628171149.358518,4081228883.5887175,6478881736.201715,175927052135.94177,-80188814798.46701
M,2044,1445882.0914891204,2419326549.5660605,1557726153.3363612,3977052702.902422,6198564277.9820595,184990401574.50406,-84165867501.36943
M,2045,1368671.306668755,2379171000.0223403,1484398956.5556436,3863569956.577984,5906777854.806193,193904101755.21777,-88029437457.94742
